,Name,Population_2018,Land_area,Location
86,"Reno, Nevada","250,998
",277.9 km,39.5491°N 119.8499°W
87,"Glendale, Arizona","250,702
",153.1 km,33.5331°N 112.1899°W
88,"Gilbert, Arizona","248,279
",176.1 km,33.3103°N 111.7431°W
89,"Winston–Salem, North Carolina","246,328
",343.2 km,36.1027°N 80.2610°W
90,"North Las Vegas, Nevada","245,949
",253.8 km,36.2857°N 115.0939°W
91,"Norfolk, Virginia","244,076
",138.0 km,36.9230°N 76.2446°W
92,"Chesapeake, Virginia","242,634
",876.7 km,36.6794°N 76.3018°W
93,"Garland, Texas","242,507
",147.6 km,32.9098°N 96.6303°W
94,"Irving, Texas","242,242
",173.5 km,32.8577°N 96.9700°W
95,"Hialeah, Florida","238,942
",55.7 km,25.8699°N 80.3029°W
96,"Fremont, California","237,807
",200.7 km,37.4945°N 121.9412°W
97,"Boise, Idaho","228,790
",212.6 km,43.6002°N 116.2317°W
98,"Richmond, Virginia","228,783
",154.9 km,37.5314°N 77.4760°W
99,"Baton Rouge, Louisiana","221,599
",222.5 km,30.4422°N 91.1309°W
100,"Spokane, Washington","219,190
",177.9 km,47.6669°N 117.4333°W
101,"Des Moines, Iowa","216,853
",230.2 km,41.5726°N 93.6102°W
102,"Tacoma, Washington","216,279
",128.7 km,47.2522°N 122.4598°W
103,"San Bernardino, California","215,941
",159.3 km,34.1416°N 117.2936°W
104,"Modesto, California","215,030
",111.4 km,37.6375°N 121.0030°W
105,"Fontana, California","213,739
",111.4 km,34.1090°N 117.4629°W
106,"Santa Clarita, California","210,089
",136.8 km,34.4030°N 118.5042°W
107,"Birmingham, Alabama","209,880
",378.4 km,33.5274°N 86.7990°W
108,"Oxnard, California","209,877
",69.7 km,34.2023°N 119.2046°W
109,"Fayetteville, North Carolina","209,468
",382.5 km,35.0828°N 78.9735°W
110,"Moreno Valley, California","209,050
",132.9 km,33.9233°N 117.2057°W
111,"Rochester, New York","206,284
",92.7 km,43.1699°N 77.6169°W
112,"Glendale, California","201,361
",78.7 km,34.1814°N 118.2458°W
113,"Huntington Beach, California","200,641
",69.7 km,33.6906°N 118.0093°W
114,Salt Lake City,"200,591
",288.0 km,40.7769°N 111.9310°W
115,"Grand Rapids, Michigan","200,217
",115.0 km,42.9612°N 85.6556°W
116,"Amarillo, Texas","199,924
",262.6 km,35.1999°N 101.8302°W
117,"Yonkers, New York","199,663
",46.6 km,40.9459°N 73.8674°W
118,"Aurora, Illinois","199,602
",116.3 km,41.7635°N 88.2901°W
119,"Montgomery, Alabama","198,218
",413.9 km,32.3472°N 86.2661°W
120,"Akron, Ohio","198,006
",160.6 km,41.0805°N 81.5214°W
121,"Little Rock, Arkansas","197,881
",307.4 km,34.7254°N 92.3586°W
122,"Huntsville, Alabama","197,318
",552.7 km,34.6990°N 86.6730°W
123,"Augusta, Georgia","196,939
",783.5 km,33.3655°N 82.0734°W
124,"Port St. Lucie, Florida","195,248
",307.9 km,27.2806°N 80.3883°W
125,"Grand Prairie, Texas","194,614
",187.3 km,32.6869°N 97.0211°W
126,"Columbus, Georgia","194,160
",560.5 km,32.5102°N 84.8749°W
127,"Tallahassee, Florida","193,551
",260.0 km,30.4551°N 84.2534°W
128,"Overland Park, Kansas","192,536
",194.5 km,38.8890°N 94.6906°W
129,"Tempe, Arizona","192,364
",103.6 km,33.3884°N 111.9318°W
130,"McKinney, Texas","191,645
",163.2 km,33.1985°N 96.6680°W
131,"Mobile, Alabama","189,572
",361.0 km,30.6684°N 88.1002°W
132,"Cape Coral, Florida","189,343
",273.5 km,26.6432°N 81.9974°W
133,"Shreveport, Louisiana","188,987
",277.4 km,32.4669°N 93.7922°W
134,"Frisco, Texas","188,170
",175.3 km,33.1554°N 96.8226°W
135,"Knoxville, Tennessee","187,500
",255.1 km,35.9707°N 83.9493°W
136,"Worcester, Massachusetts","185,877
",96.9 km,42.2695°N 71.8078°W
137,"Brownsville, Texas","183,392
",343.2 km,25.9991°N 97.4550°W
138,"Vancouver, Washington","183,012
",121.5 km,45.6349°N 122.5957°W
139,"Fort Lauderdale, Florida","182,595
",89.6 km,26.1412°N 80.1467°W
140,"Sioux Falls, South Dakota","181,883
",195.3 km,43.5383°N 96.7320°W
141,"Ontario, California","181,107
",129.2 km,34.0394°N 117.6042°W
142,"Chattanooga, Tennessee","180,557
",370.6 km,35.0660°N 85.2484°W
143,"Providence, Rhode Island","179,335
",47.7 km,41.8231°N 71.4188°W
144,"Newport News, Virginia","178,626
",179.0 km,37.0762°N 76.5220°W
145,"Rancho Cucamonga, California","177,751
",103.6 km,34.1233°N 117.5642°W
146,"Santa Rosa, California","177,586
",107.0 km,38.4468°N 122.7061°W
147,"Oceanside, California","176,080
",107.0 km,33.2245°N 117.3062°W
148,"Salem, Oregon","173,442
",125.9 km,44.9237°N 123.0232°W
149,"Elk Grove, California","172,886
",109.3 km,38.4146°N 121.3850°W
150,"Garden Grove, California","172,646
",46.6 km,33.7788°N 117.9605°W
151,"Pembroke Pines, Florida","172,374
",85.5 km,26.0210°N 80.3404°W
152,"Peoria, Arizona","172,259
",455.1 km,33.7862°N 112.3080°W
153,"Eugene, Oregon","171,245
",114.2 km,44.0567°N 123.1162°W
154,"Corona, California","168,819
",102.3 km,33.8620°N 117.5655°W
155,"Cary, North Carolina","168,160
",146.3 km,35.7809°N 78.8133°W
156,"Springfield, Missouri","168,122
",213.2 km,37.1942°N 93.2913°W
